y=117 x=187 x1=561 conf=1.00 | 四、装饰画边框选择
y=216 x=90 x1=862 conf=1.00 | 挑选装饰画不能只关注画面内容的表现，而忽略了边框的颜色
y=225 x=952 x1=1714 conf=1.00 | 装饰画边框的宽窄最终还是需要符合画作的基调与想要传达的
y=270 x=95 x1=859 conf=1.00 | 与材质。不同装饰风格要选择不同的边框，甚至是没有边框的
y=272 x=952 x1=1716 conf=1.00 | 内容。就如同博物馆中的那些著名画作一样，如果画作本身足
y=317 x=90 x1=864 conf=1.00 | 装饰画。通常，经典、厚重或者华丽的风格需要质感和形状都
y=322 x=949 x1=1719 conf=1.00 | 够出色，那么即使是搭配最简单的线条也会吸引人的眼球。过
y=366 x=90 x1=864 conf=1.00 | 很突出的边框来衬托，而现代极简一类的风格，往往需要弱化
y=373 x=951 x1=1714 conf=1.00 | 宽的边框会让装饰画看起来太过沉重，过于细窄的边框则会让
y=420 x=92 x1=859 conf=1.00 | 边框的作用，给人以简洁的印象。对于内容比较轻松愉悦的装
y=425 x=954 x1=1461 conf=1.00 | 一幅严谨的作品看上去同海报般无足轻重。
y=467 x=90 x1=857 conf=1.00 | 饰画而言，细框是最合适不过的选择。混搭风格的空间，对于
y=472 x=949 x1=1716 conf=1.00 | 此外，装饰画边框的选择不仅仅跟设计风格有关，而且还要尽
y=517 x=90 x1=862 conf=1.00 | 装饰画边框的限制比较小，可以采用不同材质的组合、雕花边
y=526 x=949 x1=1714 conf=1.00 | 量做到与所处墙面的质感和色彩拉开少许的层次，或者是用画
y=568 x=90 x1=606 conf=1.00 | 框和光面边框的组合、有框和无框的组合。
y=575 x=949 x1=1243 conf=1.00 | 的本身来与之拉开层次。
y=1207 x=90 x1=275 conf=1.00 | 雕花边框装饰画
y=1214 x=791 x1=928 conf=0.92 | ▲细框装饰画
y=1219 x=1349 x1=1487 conf=0.93 | ▲无框装饰画
y=1428 x=85 x1=372 conf=1.00 | 1.装饰画边框材质
y=1499 x=85 x1=1155 conf=1.00 | 装饰画的边框材质多样，有实木边框、聚氨酯塑料发泡边框、金属边框等，具体根据实
y=1548 x=83 x1=1139 conf=1.00 | 际的需要搭配。一般来说，实木边框适合水墨国画，造型复杂的边框适用于厚重的油画，
y=1597 x=85 x1=459 conf=1.00 | 现代画选择直线条的简单画框。
y=2048 x=85 x1=206 conf=1.00 | 实木画框
y=2053 x=686 x1=807 conf=1.00 | 发泡画框
y=2055 x=1250 x1=1371 conf=1.00 | 金属画框
y=2182 x=878 x1=918 conf=1.00 | 176
