===== 人体尺度 =====
--p20(印4)--
>> 我国成年人体主要参考尺度见表1-1～表1-8。
>> **表1-1 我国成年人体主要参考尺度（男）**
| 测量项目 | 位数 | 18~60岁 | 18~25岁 | 26~35岁 | 36~60岁 |
| --- | --- | --- | --- | --- | --- |
| 身高/mm | P1 | 1543 | 1554 | 1545 | 1533 |
|  | P5 | 1583 | 1591 | 1588 | 1576 |
|  | P10 | 1604 | 1611 | 1608 | 1596 |
|  | P50 | 1678 | 1686 | 1683 | 1667 |
|  | P90 | 1754 | 1764 | 1755 | 1739 |
|  | P95 | 1775 | 1789 | 1776 | 1761 |
|  | P99 | 1814 | 1830 | 1815 | 1798 |
| 体重/kg | P1 | 44 | 43 | 45 | 45 |
|  | P5 | 48 | 47 | 48 | 49 |
|  | P10 | 50 | 50 | 50 | 51 |
|  | P50 | 59 | 57 | 59 | 61 |
|  | P90 | 71 | 66 | 70 | 74 |
|  | P95 | 75 | 70 | 74 | 78 |
|  | P99 | 83 | 78 | 80 | 85 |
| 上臂长/mm | P1 | 279 | 279 | 280 | 278 |
|  | P5 | 289 | 289 | 289 | 289 |
|  | P10 | 294 | 294 | 294 | 294 |
|  | P50 | 313 | 313 | 314 | 313 |
|  | P90 | 333 | 333 | 333 | 331 |
|  | P95 | 338 | 339 | 339 | 337 |
|  | P99 | 349 | 350 | 349 | 348 |
| 前臂长/mm | P1 | 206 | 207 | 205 | 206 |
|  | P5 | 216 | 216 | 216 | 215 |
|  | P10 | 220 | 221 | 221 | 220 |
|  | P50 | 237 | 237 | 237 | 235 |
|  | P90 | 253 | 254 | 253 | 252 |
|  | P95 | 258 | 259 | 258 | 257 |
|  | P99 | 268 | 269 | 268 | 267 |
| 大腿长/mm | P1 | 413 | 415 | 414 | 411 |
|  | P5 | 428 | 432 | 427 | 425 |
|  | P10 | 436 | 440 | 436 | 434 |
|  | P50 | 465 | 469 | 466 | 462 |
|  | P90 | 496 | 500 | 495 | 492 |
|  | P95 | 505 | 509 | 505 | 501 |
|  | P99 | 523 | 532 | 521 | 518 |
| 小腿长/mm | P1 | 324 | 327 | 324 | 322 |
|  | P5 | 338 | 340 | 338 | 336 |
|  | P10 | 344 | 346 | 345 | 343 |
|  | P50 | 369 | 372 | 370 | 367 |
|  | P90 | 396 | 399 | 397 | 393 |
|  | P95 | 403 | 407 | 403 | 400 |
|  | P99 | 419 | 421 | 420 | 416 |
>> **表1-2 我国成年人体主要参考尺度（女）（本页为18~55岁、18~25岁两组）**
| 测量项目 | 位数 | 18~55岁 | 18~25岁 |
| --- | --- | --- | --- |
| 身高/mm | P1 | 1449 | 1457 |
|  | P5 | 1484 | 1494 |
|  | P10 | 1503 | 1512 |
|  | P50 | 1570 | 1580 |
|  | P90 | 1640 | 1647 |
|  | P95 | 1659 | 1667 |
|  | P99 | 1697 | 1709 |
| 体重/kg | P1 | 39 | 38 |
|  | P5 | 42 | 40 |
|  | P10 | 44 | 42 |
|  | P50 | 52 | 49 |
|  | P90 | 63 | 57 |
|  | P95 | 66 | 60 |
|  | P99 | 74 | 66 |
| 上臂长/mm | P1 | 252 | 253 |
|  | P5 | 262 | 263 |
|  | P10 | 267 | 268 |
|  | P50 | 284 | 286 |
|  | P90 | 303 | 304 |
|  | P95 | 308 | 309 |
|  | P99 | 319 | 319 |
| 前臂长/mm | P1 | 185 | 187 |
|  | P5 | 193 | 194 |
|  | P10 | 198 | 198 |
|  | P50 | 213 | 214 |
|  | P90 | 229 | 229 |
|  | P95 | 234 | 235 |
|  | P99 | 242 | 243 |
| 大腿长/mm | P1 | 387 | 391 |
|  | P5 | 402 | 406 |
|  | P10 | 410 | 414 |
|  | P50 | 438 | 441 |
|  | P90 | 467 | 470 |
|  | P95 | 476 | 480 |
|  | P99 | 494 | 496 |
| 小腿长/mm | P1 | 300 | 301 |
|  | P5 | 313 | 314 |
|  | P10 | 319 | 322 |
|  | P50 | 344 | 346 |
|  | P90 | 370 | 371 |
|  | P95 | 376 | 379 |
|  | P99 | 390 | 395 |
--p21(印5)--
>> **续表（表1-2 我国成年人体主要参考尺度（女）续：26~35岁、36~55岁两组）**
| 测量项目 | 位数 | 26~35岁 | 36~55岁 |
| --- | --- | --- | --- |
| 身高/mm | P1 | 1449 | 1445 |
|  | P5 | 1486 | 1477 |
|  | P10 | 1504 | 1494 |
|  | P50 | 1572 | 1560 |
|  | P90 | 1642 | 1627 |
|  | P95 | 1661 | 1646 |
|  | P99 | 1698 | 1683 |
| 体重/kg | P1 | 39 | 40 |
|  | P5 | 42 | 44 |
|  | P10 | 44 | 46 |
|  | P50 | 51 | 55 |
|  | P90 | 62 | 60 |
|  | P95 | 65 | 70 |
|  | P99 | 72 | 76 |
| 上臂长/mm | P1 | 253 | 251 |
|  | P5 | 263 | 260 |
|  | P10 | 267 | 265 |
|  | P50 | 285 | 282 |
|  | P90 | 304 | 301 |
|  | P95 | 309 | 306 |
|  | P99 | 320 | 317 |
| 前臂长/mm | P1 | 184 | 185 |
|  | P5 | 194 | 192 |
|  | P10 | 198 | 197 |
|  | P50 | 214 | 213 |
